0345  // 0.204346
0361  // 0.211182
035B  // 0.209717
036D  // 0.214111
0376  // 0.216309
031A  // 0.193848
02B5  // 0.169189
02D3  // 0.176514
0328  // 0.197266
0316  // 0.192871
02C6  // 0.17334
02B3  // 0.168701
02EB  // 0.182373
030A  // 0.189941
02EA  // 0.182129
02BE  // 0.171387
02E2  // 0.180176
0344  // 0.204102
034D  // 0.206299
02FF  // 0.187256
02CB  // 0.174561
02C8  // 0.173828
02B2  // 0.168457
0263  // 0.14917
020A  // 0.127441
01D6  // 0.114746
01B6  // 0.106934
0188  // 0.0957031
016D  // 0.0891113
01B9  // 0.107666
022D  // 0.135986
021F  // 0.132568
0190  // 0.0976562
0127  // 0.0720215
0138  // 0.0761719
0189  // 0.0959473
0226  // 0.134277
02E5  // 0.180908
0326  // 0.196777
02D7  // 0.17749
02C1  // 0.172119
0312  // 0.191895
0368  // 0.212891
03A5  // 0.227783
03E3  // 0.24292
03CB  // 0.237061
0364  // 0.211914
0351  // 0.207275
03BB  // 0.233154
040A  // 0.252441
0404  // 0.250977
03EB  // 0.244873
03C7  // 0.236084
038E  // 0.222168
0395  // 0.223877
03CF  // 0.238037
0412  // 0.254395
0434  // 0.262695
03A2  // 0.227051
01A5  // 0.102783
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0425  // 0.259033
0913  // 0.567139
0B1D  // 0.69458
0BE2  // 0.742676
0C8A  // 0.783691
0D1B  // 0.819092
0D58  // 0.833984
0D3A  // 0.82666
0CD2  // 0.80127
0C11  // 0.75415
0AEB  // 0.682373
0944  // 0.579102
073D  // 0.452393
059B  // 0.350342
0501  // 0.312744
0513  // 0.317139
0502  // 0.312988
0482  // 0.281738
03F1  // 0.246338
03EB  // 0.244873
0497  // 0.286865
0548  // 0.330078
051B  // 0.319092
043D  // 0.264893
03A8  // 0.228516
03F9  // 0.248291
04C9  // 0.299072
055C  // 0.334961
0569  // 0.338135
0549  // 0.330322
0561  // 0.336182
05D5  // 0.364502
0663  // 0.39917
0688  // 0.408203
0634  // 0.387695
05D7  // 0.36499
05D4  // 0.364258
0635  // 0.387939
06BB  // 0.420654
0706  // 0.438965
06C2  // 0.422363
061C  // 0.381836
05C4  // 0.360352
0608  // 0.376953
0680  // 0.40625
06BA  // 0.42041
068A  // 0.408691
05FA  // 0.373535
0571  // 0.340088
0528  // 0.322266
04CF  // 0.300537
044A  // 0.268066
0444  // 0.266602
04CB  // 0.299561
04C4  // 0.297852
03BC  // 0.233398
02D9  // 0.177979
02F6  // 0.185059
036D  // 0.214111
0391  // 0.2229
0390  // 0.222656
038F  // 0.222412

0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0035  // 0.0129395
0072  // 0.027832
003D  // 0.0148926
0018  // 0.00585938
0090  // 0.0351562
0118  // 0.0683594
00A8  // 0.0410156
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
0000  // 0
